# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "CDS" "-g" "transcript_id" "-a" "annotation.gtf" "-o" "counts/temp_counts_transcript.txt" "alignments/NPFM1_sorted.bam" "alignments/NPFM2_sorted.bam" "alignments/NPFM3_sorted.bam" "alignments/NPFM4_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/NPFM1_sorted.bam	alignments/NPFM2_sorted.bam	alignments/NPFM3_sorted.bam	alignments/NPFM4_sorted.bam
unassigned_transcript_13	BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1;BMAW01000036.1	366145;372366;374255;374600;377289;377779;377973;383091;383249;385652;387860;389957;392166;392370;393652;396783;398320;400357;404116;406931;417284;417594;420350;420522;420712;423538;426630;433787;433963;435256;435467;438462;438645;441793;446893;447054;452801;454942;456503;456682	366184;372550;374514;374650;377402;377894;378031;383143;383373;385790;387921;390069;392266;392408;393779;396853;398384;400504;404233;407031;417355;417700;420422;420626;420870;423672;426714;433875;434025;435348;435526;438559;438711;441956;446971;447111;452877;455044;456577;456773	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3942	599	383	30	47
unassigned_transcript_14	BMAW01000036.1;BMAW01000036.1;BMAW01000036.1	463240;466369;467392	463359;466423;467426	+;+;+	210	0	1	0	0
unassigned_transcript_15	BMAW01000039.1;BMAW01000039.1	995;1421	1058;1557	+;+	201	0	0	0	0
unassigned_transcript_16	BMAW01000044.1	2	1026	+	1025	0	0	0	0
unassigned_transcript_17	BMAW01000056.1	5234	5467	-	234	0	0	0	0
unassigned_transcript_18	BMAW01000056.1;BMAW01000056.1	51482;88577	51662;88971	+;+	576	0	0	0	0
unassigned_transcript_19	BMAW01000058.1	630	980	-	351	0	0	6	0
unassigned_transcript_20	BMAW01000065.1	4	1002	-	999	0	0	0	0
unassigned_transcript_21	BMAW01000069.1;BMAW01000069.1;BMAW01000069.1	5235;5875;6865	5261;6177;7023	+;+;+	489	0	0	4	2
unassigned_transcript_22	BMAW01000070.1	2191	2463	+	273	0	0	0	0
unassigned_transcript_23	BMAW01000070.1;BMAW01000070.1;BMAW01000070.1;BMAW01000070.1;BMAW01000070.1;BMAW01000070.1;BMAW01000070.1;BMAW01000070.1;BMAW01000070.1;BMAW01000070.1	19194;19817;24564;27902;31507;33035;35430;37687;41305;43477	19214;19920;24718;28070;31654;33126;35644;37868;41438;43810	+;+;+;+;+;+;+;+;+;+	1554	14	0	1	0
unassigned_transcript_24	BMAW01000081.1	1862	2263	-	402	0	0	0	0
unassigned_transcript_25	BMAW01000084.1	13616	13927	-	312	0	0	0	0
unassigned_transcript_26	BMAW01000084.1;BMAW01000084.1;BMAW01000084.1	33973;34891;35985	34109;34918;36116	+;+;+	297	0	0	0	0
unassigned_transcript_27	BMAW01000084.1;BMAW01000084.1;BMAW01000084.1;BMAW01000084.1;BMAW01000084.1	45675;46106;47089;47862;51375	45831;46279;47340;48025;51404	-;-;-;-;-	777	0	0	0	0
unassigned_transcript_28	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	515;2875;4881;6570	595;3297;5029;6675	+;+;+;+	759	39	27	0	1368
unassigned_transcript_29	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	18139;18580;18956;23710;25146;29227;31814;32137;32604;35498	18207;18597;19105;23847;25292;29311;31959;32261;32672;35714	+;+;+;+;+;+;+;+;+;+	1164	4	6	0	5
unassigned_transcript_30	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	45801;47574;48555;54904	47068;47631;48650;54921	-;-;-;-	1440	12	6	1	29
unassigned_transcript_31	BMAW01000086.1;BMAW01000086.1	59125;66799	59297;67141	-;-	516	0	0	0	0
unassigned_transcript_32	BMAW01000086.1	75293	77008	+	1716	19	10	8	55
unassigned_transcript_33	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	107760;111662;114629;117590;121258;130200;133274	107916;111911;114724;117799;121434;130307;133448	-;-;-;-;-;-;-	1173	0	0	0	0
unassigned_transcript_34	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	107760;111662;114629;117590;121216;130200;133274	107916;111911;114724;117799;121434;130307;133448	-;-;-;-;-;-;-	1215	0	0	0	0
unassigned_transcript_35	BMAW01000086.1;BMAW01000086.1	167160;169897	167170;170152	+;+	267	0	0	1	0
unassigned_transcript_36	BMAW01000086.1	293157	294410	-	1254	2	4	6	8
unassigned_transcript_37	BMAW01000086.1;BMAW01000086.1	302118;303553	302400;304004	+;+	735	0	0	0	0
unassigned_transcript_38	BMAW01000086.1	314591	315961	-	1371	0	0	0	0
unassigned_transcript_39	BMAW01000086.1	314591	314842	-	252	0	0	0	0
unassigned_transcript_40	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	316954;317068;317573;327790;329215;331539;335361	316970;317195;317752;327960;329315;331685;335495	+;+;+;+;+;+;+	879	13	6	22	25
unassigned_transcript_41	BMAW01000086.1;BMAW01000086.1	354778;355843	355130;355885	-;-	396	0	7	7	0
unassigned_transcript_42	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	356299;357664;359128;359864	357506;358865;359400;360060	+;+;+;+	2880	10	0	4	10
unassigned_transcript_43	BMAW01000086.1;BMAW01000086.1	370521;371477	370702;371498	-;-	204	0	2	4	4
unassigned_transcript_44	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	375575;377962;386126;389903;393358;394797;405333;407991;429977;436655	375778;378179;386281;390035;393507;394927;405516;408242;430170;436769	-;-;-;-;-;-;-;-;-;-	1737	0	3	13	4
unassigned_transcript_45	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	442697;444386;452148	442804;444462;452280	-;-;-	318	0	0	2	0
unassigned_transcript_46	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	485920;494979;502032	486099;495064;502065	-;-;-	300	61	137	11	62
unassigned_transcript_47	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	523030;529202;533711;585135;586521	523305;529395;533831;585179;586553	-;-;-;-;-	669	16	13	3	8
unassigned_transcript_48	BMAW01000086.1	594981	595232	+	252	0	0	0	0
unassigned_transcript_49	BMAW01000086.1	595294	595713	+	420	0	0	0	0
unassigned_transcript_50	BMAW01000086.1;BMAW01000086.1	595892;596292	596185;596492	+;+	495	0	0	0	0
unassigned_transcript_51	BMAW01000086.1;BMAW01000086.1	596644;597171	596759;597369	+;+	315	0	2	6	0
unassigned_transcript_52	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	621338;626629;637351;642638;643541;644289;645780;646529;647882;648290;650945;652484;652604;655719;678865;689830	621339;626683;637560;642848;643703;644382;645920;646618;647965;648436;651025;652513;652743;655790;678922;689874	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1623	0	0	0	0
unassigned_transcript_53	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	621338;626629;637351;642638;643541;644289;645780;646529;647882;648290;650945;652484;652604;655719;662221;678865;689830	621339;626683;637560;642848;643703;644382;645920;646618;647965;648436;651025;652513;652743;655790;662310;678922;689874	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1713	0	0	0	0
unassigned_transcript_54	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	621338;626629;637351;642638;643541;644289;645780;646529;647882;648290;650945;652484;652604;655719;662221;670338;678865;689830	621339;626683;637560;642848;643703;644382;645920;646618;647965;648436;651025;652513;652743;655790;662310;670379;678922;689874	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1755	0	12	4	0
unassigned_transcript_56	BMAW01000086.1	707685	707948	+	264	0	0	0	0
unassigned_transcript_57	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	739825;798529;813983;825082;825219;825661;828104;836287;839491;841297;844122	740311;798654;814076;825126;825342;825764;828200;836436;839575;841389;844180	+;+;+;+;+;+;+;+;+;+;+	1464	32	7	14	24
unassigned_transcript_58	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	899041;906412;907663;909230;910156;912948;916004;916180;916394;917730;924301;928280	899141;906504;907811;909330;910257;913058;916087;916239;916444;917831;924412;928374	-;-;-;-;-;-;-;-;-;-;-;-	1161	1509	460	38	630
unassigned_transcript_59	BMAW01000086.1	931170	932390	+	1221	9	18	2	8
unassigned_transcript_60	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	944351;946645;946800;959872;960107;962133;965888;972696	944386;946698;946955;959976;960188;962274;966094;972783	-;-;-;-;-;-;-;-	870	152	130	48	144
unassigned_transcript_61	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	973232;977258;981352;982142;984973;985988;987509;989257;989563;990415;993223;995570;995883;999447;999729;1000285;1001597;1002235;1003095;1003275;1003755;1005855;1006256;1007023;1007226;1009129;1011382;1016316;1017934;1021237;1034260;1035763;1039891;1041923;1045388;1047659	973268;977355;981402;982201;985100;986156;987582;989332;989651;990509;993264;995757;995960;999634;999880;1000384;1001755;1002372;1003188;1003373;1003886;1005971;1006318;1007132;1007313;1009266;1011451;1016372;1018153;1021347;1034480;1035914;1040053;1042042;1045483;1047879	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4194	30	19	40	17
unassigned_transcript_62	BMAW01000086.1	1062071	1062379	-	309	0	0	4	0
unassigned_transcript_63	BMAW01000086.1;BMAW01000086.1	1062664;1063131	1062944;1063188	-;-	339	0	0	2	0
unassigned_transcript_64	BMAW01000086.1;BMAW01000086.1	1063276;1074037	1063613;1074181	-;-	483	0	0	2	0
unassigned_transcript_65	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	1081648;1083992;1084660;1085217;1086312;1091490;1091710;1092415;1096978;1100262;1105281;1106111;1111235;1111848;1112716;1113371;1113654	1081705;1084157;1084741;1085312;1086373;1091603;1091971;1092581;1097155;1100353;1105444;1106204;1111541;1111961;1112844;1113503;1113661	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2226	0	0	0	0
unassigned_transcript_66	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	1081648;1083992;1084660;1085217;1086312;1091490;1091710;1092415;1096978;1100262;1100532;1105281;1106111;1111235;1111848;1112716;1113371;1113654	1081705;1084157;1084741;1085312;1086373;1091603;1091971;1092581;1097155;1100353;1100582;1105444;1106204;1111541;1111961;1112844;1113503;1113661	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2277	0	0	0	0
unassigned_transcript_67	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	1120357;1121644;1122398;1126114;1126509;1126716;1143461;1143664;1144854;1145122;1145911;1148392	1120369;1121701;1122546;1126204;1126636;1126795;1143557;1143756;1144918;1145152;1146037;1148512	+;+;+;+;+;+;+;+;+;+;+;+	1053	26	39	29	62
unassigned_transcript_68	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	1168593;1172696;1174543;1175700;1177760;1177973;1179480;1180270;1180625;1182234;1182616;1188266;1189836	1168761;1172793;1174606;1175800;1177804;1178092;1179630;1180415;1180756;1182375;1182779;1189082;1189918	+;+;+;+;+;+;+;+;+;+;+;+;+	2232	0	0	1	1
unassigned_transcript_69	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	1168593;1172696;1174543;1175700;1177973;1179480;1180270;1180625;1182234;1182616;1188266;1189836	1168761;1172793;1174606;1175800;1178092;1179630;1180415;1180756;1182375;1182779;1189082;1189918	+;+;+;+;+;+;+;+;+;+;+;+	2187	0	0	0	0
unassigned_transcript_70	BMAW01000086.1	1199563	1199961	-	399	0	0	4	0
unassigned_transcript_71	BMAW01000086.1	1200163	1200585	-	423	0	0	3	0
unassigned_transcript_72	BMAW01000086.1	1201309	1201635	-	327	0	0	4	0
unassigned_transcript_73	BMAW01000086.1;BMAW01000086.1	1202262;1202749	1202542;1203088	-;-	621	0	0	8	0
unassigned_transcript_74	BMAW01000086.1;BMAW01000086.1	1212200;1219531	1212366;1220053	+;+	690	2	0	1	0
unassigned_transcript_75	BMAW01000086.1;BMAW01000086.1	1244632;1244940	1244835;1245011	-;-	276	0	0	0	0
unassigned_transcript_76	BMAW01000086.1;BMAW01000086.1	1315507;1329221	1315677;1329343	-;-	294	0	0	0	0
unassigned_transcript_77	BMAW01000086.1;BMAW01000086.1	1353099;1354926	1353269;1354997	-;-	243	0	1	2	0
unassigned_transcript_78	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	1360046;1418693;1471523;1485090;1501613;1506469;1508550;1520863;1522162;1523688;1526086;1527375;1528637;1536623;1539588;1541838;1543270;1543477;1545587;1550869;1554593	1360181;1418796;1471649;1485161;1501730;1506568;1508762;1521007;1522268;1523810;1526223;1527465;1528842;1536754;1539788;1542077;1543378;1543581;1545684;1550968;1554702	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2775	29	14	51	24
unassigned_transcript_79	BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1;BMAW01000086.1	1566022;1570410;1571710;1575429;1578730	1568465;1570612;1572019;1575615;1578777	-;-;-;-;-	3192	46	307	17	212
unassigned_transcript_80	BMAW01000086.1	1619939	1620262	+	324	2	1	2	2
unassigned_transcript_81	BMAW01000086.1	1635951	1636202	-	252	0	0	0	0
unassigned_transcript_82	BMAW01000086.1	1709918	1710310	+	393	0	0	13	0
unassigned_transcript_83	BMAW01000086.1	1712150	1712632	-	483	0	6	1	0
unassigned_transcript_84	BMAW01000086.1	1714980	1715330	-	351	2	4	2	2
unassigned_transcript_85	BMAW01000086.1	1736613	1737437	-	825	0	0	8	0
unassigned_transcript_86	BMAW01000086.1;BMAW01000086.1	1777145;1783498	1777260;1783621	-;-	240	0	0	1	0
unassigned_transcript_87	BMAW01000086.1;BMAW01000086.1	1875846;1878982	1876087;1879162	+;+	423	0	0	3	0
unassigned_transcript_88	BMAW01000102.1	99	446	-	348	0	1	0	0
unassigned_transcript_89	BMAW01000103.1;BMAW01000103.1	13894;27035	14736;27061	-;-	870	5	0	0	9
unassigned_transcript_90	BMAW01000103.1;BMAW01000103.1	50161;54770	50181;55594	+;+	846	69	0	8	10
unassigned_transcript_91	BMAW01000103.1;BMAW01000103.1	70089;81041	70109;81883	+;+	864	0	0	8	11
unassigned_transcript_92	BMAW01000103.1;BMAW01000103.1	117414;124361	117434;125218	+;+	879	2	0	4	4
unassigned_transcript_93	BMAW01000103.1	141159	141971	+	813	38	6	0	6
unassigned_transcript_94	BMAW01000103.1	364720	365034	+	315	0	0	3	0
unassigned_transcript_95	BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1	365083;373497;377882;377994;381207;382163	365098;373553;377912;378010;381423;382277	-;-;-;-;-;-	453	0	0	2	2
unassigned_transcript_96	BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1	384883;386183;391026;394486;396315;400831	384995;386288;391192;394656;396608;401125	-;-;-;-;-;-	1146	0	0	4	0
unassigned_transcript_97	BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1	415111;418867;419529;422027;424562;428617;442158;444294;448996;457600;485957;527820	415409;419107;419587;422180;424719;428704;442369;444584;449163;457752;486094;527874	-;-;-;-;-;-;-;-;-;-;-;-	2016	0	0	0	0
unassigned_transcript_98	BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1;BMAW01000103.1	415111;418867;419529;422027;424538;428617;442158;444294;448996;457600;485957;527820	415409;419107;419587;422180;424719;428704;442369;444584;449163;457752;486094;527874	-;-;-;-;-;-;-;-;-;-;-;-	2040	0	0	0	0
unassigned_transcript_99	BMAW01000103.1	595978	596232	+	255	0	0	0	0
unassigned_transcript_100	BMAW01000104.1;BMAW01000104.1;BMAW01000104.1;BMAW01000104.1;BMAW01000104.1;BMAW01000104.1	22249;22805;23175;24406;26465;26759	22417;22860;23399;24600;26537;27039	+;+;+;+;+;+	999	0	0	0	0
unassigned_transcript_101	BMAW01000104.1	27688	28005	+	318	0	0	0	0
unassigned_transcript_102	BMAW01000104.1;BMAW01000104.1	29774;30144	30036;30417	+;+	537	0	0	2	0
unassigned_transcript_103	BMAW01000104.1	30455	30712	+	258	0	0	0	0
unassigned_transcript_104	BMAW01000104.1;BMAW01000104.1;BMAW01000104.1;BMAW01000104.1	31361;31944;32388;33839	31592;32162;32426;33960	-;-;-;-	612	0	1	0	0
unassigned_transcript_105	BMAW01000104.1	37950	38264	+	315	2	0	0	0
unassigned_transcript_106	BMAW01000104.1;BMAW01000104.1	39054;59129	39284;59203	-;-	306	0	0	0	0
unassigned_transcript_107	BMAW01000108.1;BMAW01000108.1	2324;3906	2467;4070	+;+	309	37	19	5	62
unassigned_transcript_108	BMAW01000123.1;BMAW01000123.1;BMAW01000123.1;BMAW01000123.1;BMAW01000123.1;BMAW01000123.1;BMAW01000123.1;BMAW01000123.1;BMAW01000123.1	43839;46226;46933;55438;55725;58017;59738;70327;71602	44019;46310;47012;55508;55951;58099;59872;70706;71769	+;+;+;+;+;+;+;+;+	1410	0	1	4	0
unassigned_transcript_109	BMAW01000130.1	2	202	+	201	0	0	0	0
unassigned_transcript_110	BMAW01000139.1	2941	3219	-	279	0	0	0	0
unassigned_transcript_111	BMAW01000143.1	13791	14075	+	285	0	0	0	0
unassigned_transcript_112	BMAW01000145.1;BMAW01000145.1	2964;3251	3051;3429	+;+	267	0	0	0	0
unassigned_transcript_113	BMAW01000155.1;BMAW01000155.1	2524;4427	2683;4624	-;-	358	0	0	0	0
unassigned_transcript_114	BMAW01000167.1;BMAW01000167.1;BMAW01000167.1	16375;27848;32931	16438;28135;33208	+;+;+	630	118	2227	34	16
unassigned_transcript_115	BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1;BMAW01000167.1	35476;37380;40239;43644;45813;47575;48603;50094;51204;51624;58105;58462;59868;62571;77482;79504;82647;86051;86337;86584;86891;91837;92064;93717	35539;37485;40408;43846;45977;47711;48800;50201;51305;51785;58275;58631;59985;62708;77613;79641;82688;86203;86390;86643;86944;91980;92155;93733	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2898	2247	62	47	20
unassigned_transcript_116	BMAW01000167.1;BMAW01000167.1;BMAW01000167.1	150014;150590;159569	150071;150695;159803	-;-;-	399	0	2	0	0
unassigned_transcript_118	BMAW01000181.1;BMAW01000181.1	19780;21149	19831;21519	+;+	423	0	0	0	0
unassigned_transcript_119	BMAW01000183.1;BMAW01000183.1;BMAW01000183.1	6864;9486;14789	6998;9792;14892	+;+;+	546	0	2	2	20
